363 147 732
220 14 200
8 184 232
774 289 196
448 158 677
131 201 799
111 424 143
234 695 401
627 268 159
446 742 1
471 584 693
252 61 564
315 618 588
721 558 484
97 245 339
136 306 502
442 331 374
110 165 349
203 275 163
765 578 429
164 559 275
92 468 399
468 403 613
187 129 364
467 416 700
353 325 391
179 755 124
669 563 313
65 653 511
503 100 589
584 726 770
77 689 368
313 358 614
762 417 547
790 231 311
401 136 335
743 324 151
122 7 657
601 144 69
394 81 698
293 469 161
638 641 562
252 165 70
150 166 199
726 18 215
43 9 687
627 248 282
530 138 401
387 631 402
389 427 244
635 530 515
617 487 479
366 595 179
485 289 581
205 337 350
336 743 683
595 519 248
785 350 397
599 178 292
647 369 346
238 349 496
784 498 203
496 467 316
222 146 497
724 764 638
406 424 20
459 559 365
111 777 662
48 704 24
432 76 504
510 464 459
181 112 631
181 228 28
611 512 456
672 49 628
644 199 783
337 707 409
166 13 421
556 604 137
27 606 757
212 775 539
379 734 187
591 683 154
203 787 1
696 584 102
779 45 526
657 327 244
117 48 451
780 730 346
334 5 136
535 569 289
29 185 355
413 439 37
662 699 623
306 290 600
462 583 234
504 799 30
314 589 391
58 578 406
418 583 563
442 396 68
519 606 256
499 521 564
292 474 463
243 45 491
593 412 615
656 576 323
263 380 585
224 652 590
687 461 136
440 378 207
372 618 111
764 497 562
310 599 622
585 613 389
360 392 566
649 145 31
702 488 254
629 676 325
151 494 60
298 785 276
427 793 223
38 311 67
267 789 497
693 689 643
540 774 272
346 499 630
420 568 553
362 170 766
359 519 15
744 284 796
291 300 712
207 509 96
763 504 777
41 635 402
781 438 233
507 172 746
1 337 190
266 28 769
397 648 380
796 405 83
615 304 179
227 176 527
587 562 401
360 769 126
699 681 268
613 502 614
16 193 93
92 473 237
497 96 635
613 199 434
261 439 738
386 353 731
486 483 416
689 661 797
534 111 517
508 648 199
251 281 596
249 690 420
65 695 118
181 25 684
725 313 457
573 537 564
466 306 430
218 154 97
98 655 540
427 215 100
5 740 331
503 223 3
696 526 38
334 544 414
668 775 59
642 745 299
49 466 702
321 99 663
759 647 395
245 259 775
51 332 452
231 409 726
396 419 689
160 439 709
243 28 162
302 624 471
117 123 434
566 347 678
477 702 795
535 579 544
391 636 452
761 589 45
30 490 482
102 207 84
396 423 6
590 318 387
515 614 540
271 338 732
566 470 30
148 628 565
235 190 492
775 659 243
150 69 678
476 590 46
40 348 12
702 661 706
91 665 226
371 526 725
454 570 181
434 295 503
426 235 515
672 797 151
759 146 53
437 47 550
646 596 715
356 72 785
191 504 704
294 796 43
65 651 284
765 443 14
464 339 761
416 556 534
249 219 727
583 251 257
91 407 472
208 391 735
337 699 640
735 574 755
544 452 186
432 707 633
411 212 178
455 214 639
493 160 320
642 459 20
187 545 101
414 59 797
138 604 454
247 33 467
40 72 7
265 305 704
340 657 526
250 111 460
369 573 666
372 244 799
17 700 239
163 360 258
42 503 629
648 249 584
484 577 681
2 678 707
577 781 99
437 789 24
361 330 618
106 243 427
435 686 64
665 175 738
410 190 778
245 634 781
228 405 514
249 55 656
748 89 446
494 762 34
733 361 637
586 362 432
25 209 517
428 100 370
200 609 710
64 23 73
499 422 683
321 360 65
211 102 642
517 592 617
741 709 403
279 647 261
606 529 662
222 751 783
107 705 610
148 508 190
403 533 241
559 191 246
291 500 425
566 753 421
289 305 433
280 727 42
686 666 170
242 272 189
458 653 778
417 45 98
695 773 295
222 231 422
708 178 719
621 519 448
189 68 550
321 392 651
98 413 28
567 81 365
242 242 644
386 765 127
330 100 477
757 98 738
488 751 83
379 118 179
392 125 500
87 283 71
487 369 742
521 306 347
176 524 55
720 429 487
510 148 338
631 630 76
713 649 164
67 745 158
327 297 542
756 31 182
633 433 70
162 103 707
311 780 704
458 290 561
73 524 687
107 431 333
571 488 617
41 430 739
214 55 74
375 393 93
445 458 745
394 735 683
9 790 571
402 131 702
249 697 196
632 38 366
717 742 413
230 337 473
371 59 194
219 681 778
22 485 672
538 104 277
486 461 57
118 147 272
328 267 557
453 410 28
612 438 299
28 37 57
730 347 269
701 681 593
786 136 482
286 642 479
289 376 94
439 779 227
13 151 787
