53 12 80
75 64 88
51 69 77
51 82 74
14 56 5
28 75 12
81 22 89
88 88 11
80 44 14
75 32 20
61 66 64
32 9 50
27 83 9
29 64 77
30 24 97
73 52 25
11 34 93
97 50 98
87 10 55
46 93 35
39 79 99
5 54 20
76 48 67
52 18 85
54 38 34
25 32 83
80 39 8
1 26 92
97 5 27
8 77 37
31 79 41
12 64 71
35 42 99
19 98 10
39 49 64
19 65 86
36 78 31
9 3 33
5 96 84
97 54 20
99 10 94
75 39 61
14 1 75
38 88 89
6 56 77
21 95 46
93 17 41
98 31 84
4 78 46
55 24 49
58 92 84
83 12 35
49 46 44
56 38 87
48 74 38
28 87 22
84 17 7
75 2 47
1 17 46
98 78 76
7 79 96
36 64 47
89 87 18
81 12 29
50 11 12
87 31 72
17 46 79
53 45 59
16 15 1
62 71 78
82 71 27
38 43 91
25 22 67
69 59 24
96 48 95
87 2 1
55 46 57
30 37 76
67 98 80
37 96 16
37 55 65
14 46 21
57 21 24
57 94 42
24 37 72
39 35 7
8 10 83
44 38 62
48 15 35
95 69 79
49 70 41
85 51 23
75 7 87
20 24 42
26 35 83
85 18 83
45 37 95
36 90 45
30 7 84
27 33 72
35 39 33
97 82 25
6 78 81
20 87 58
53 45 55
11 50 58
39 20 90
23 39 52
71 89 84
54 79 61
98 57 33
79 77 58
40 38 74
55 27 19
70 41 93
85 61 59
15 8 29
62 16 10
75 27 91
81 91 97
19 29 94
82 80 84
33 32 77
36 58 86
19 5 75
2 94 18
82 15 14
19 44 47
62 86 92
1 52 7
66 38 70
9 88 19
28 40 63
77 74 32
6 44 5
65 70 14
7 53 22
99 15 8
7 4 12
62 29 82
92 91 59
8 35 75
73 30 67
45 58 17
82 28 32
55 69 32
72 31 44
93 70 86
35 34 39
45 55 60
11 75 6
71 90 22
15 53 2
48 52 33
80 40 5
23 63 35
77 69 96
50 75 5
58 97 82
50 10 95
85 38 10
25 90 94
12 57 17
94 50 86
56 40 30
38 2 47
9 52 27
90 27 3
27 2 33
15 17 66
22 32 14
41 20 89
17 45 90
52 77 81
10 61 50
76 35 64
24 26 53
8 35 89
15 66 30
64 54 29
41 46 7
52 15 67
70 44 26
94 20 35
9 54 95
50 99 37
66 15 63
57 75 53
47 8 4
7 74 83
28 2 17
25 64 76
96 68 54
98 50 77
53 71 75
68 87 73
96 36 86
36 38 26
97 22 69
21 74 37
99 21 50
59 7 56
6 61 87
71 86 51
58 86 67
48 94 65
93 95 13
55 6 58
94 38 51
91 28 50
19 14 4
3 86 14
34 75 41
52 61 24
88 57 30
7 45 68
57 84 38
56 73 34
81 54 41
76 69 73
51 2 40
