66 72
32 9
38 6
51 90
52 49
56 15
68 24
41 30
33 20
92 99
37 65
47 87
72 59
94 9
43 47
77 99
78 34
36 58
31 78
5 91
92 83
70 64
93 32
9 93
67 3
70 56
89 97
89 5
28 56
82 90
37 20
70 97
12 88
33 53
24 17
28 89
44 31
52 44
82 59
67 75
71 65
6 24
92 77
11 95
75 74
44 49
95 66
18 42
37 27
10 29
71 57
42 45
20 82
74 79
95 68
33 51
3 63
84 62
66 36
35 73
66 61
38 33
79 86
90 50
25 26
21 21
88 39
10 70
45 34
94 52
87 93
50 48
5 32
83 48
85 88
71 39
89 16
11 68
78 15
28 46
15 70
98 16
21 8
84 55
14 10
37 73
61 94
40 85
61 56
30 72
14 28
20 69
11 78
44 8
28 28
17 65
18 71
94 25
32 68
94 93
